TransactionID,InvoiceNumber,InvoiceDate,DueDate,PaymentDate,SupplierID,SupplierName,SupplierCategory,Department,CostCentre,AccountCode,ExpenseCategory,ExpenseType,NetAmount,VATAmount,GrossAmount,Currency,PaymentStatus,PaymentMethod,TransactionType,FiscalYear,DaysToPayment
TXN-000108,INV-20230400108,2023-04-16,2023-05-16,2023-05-06,SUP-1034,RP Slight & Sons Ltd,Construction,Customer Services,CST001,4900,Capital,Renovation Works,4720.99,944.20,5665.19,GBP,Paid,Bank Transfer,Invoice,2023/2024,-10
TXN-000109,INV-20250100109,2025-01-25,2025-02-24,,SUP-1022,Operational Research Society,Research,Human Resources,HR001,4800,Professional Services,Conference Fees,51177.39,10235.48,61412.87,GBP,Overdue,,Invoice,2024/2025,
TXN-000110,INV-20241000110,2024-10-06,2024-11-05,2024-11-04,SUP-1021,Posturite Ltd,Office Supplies,Research,RES001,6200,Supplies And Services,Ergonomic Equipment,37961.87,7592.37,45554.24,GBP,Paid,Bank Transfer,Invoice,2024/2025,-1
TXN-000111,INV-20240600111,2024-06-18,2024-07-18,,SUP-1015,Vodafone Ltd,Telecoms,Policy,POL001,6100,Supplies And Services,Telecommunications,26759.79,5351.96,32111.75,GBP,Overdue,,Invoice,2024/2025,
TXN-000112,INV-20230500112,2023-05-18,2023-06-17,,SUP-1020,Tillicoultry Quarries Ltd,Materials,Customer Services,CST001,4900,Supplies And Services,Aggregate Materials,17778.72,3555.74,21334.46,GBP,Overdue,,Invoice,2023/2024,
TXN-000113,INV-20231200113,2023-12-07,2023-12-21,2023-12-12,SUP-1024,Institute for Government,Consultancy,Waste Management,WM001,4600,Professional Services,Planning Consultancy,10406.52,0.00,10406.52,GBP,Paid,Direct Debit,Invoice,2023/2024,-9
TXN-000114,INV-20231100114,2023-11-24,2024-01-23,,SUP-1016,LSE Enterprise Ltd,Education & Research,Operations,OPS001,4500,Professional Services,Research Services,27709.34,0.00,27709.34,GBP,Pending,,Invoice,2023/2024,
TXN-000115,INV-20250200115,2025-02-22,2025-03-08,2025-03-07,SUP-1030,Wales Audit Office,Audit & Compliance,Customer Services,CST001,4900,Professional Services,External Audit,56727.83,11345.57,68073.40,GBP,Paid,Direct Debit,Invoice,2024/2025,-1
TXN-000116,INV-20231000116,2023-10-21,2023-12-20,,SUP-1017,Bray Leino Ltd,Marketing,Operations,OPS001,4500,Supplies And Services,Print Media,6622.53,1324.51,7947.04,GBP,Overdue,,Invoice,2023/2024,
TXN-000117,INV-20241100117,2024-11-09,2024-12-09,,SUP-1025,Franks Portlock Consulting Ltd,Consultancy,Human Resources,HR001,4800,Professional Services,Environmental Assessment,1560.89,312.18,1873.07,GBP,Pending,,Invoice,2024/2025,
TXN-000118,INV-20250300118,2025-03-03,2025-04-02,2025-03-26,SUP-1018,Allied Publicity Services Ltd,Marketing,ICT Operations,ICT001,4200,Supplies And Services,Branding Materials,46600.52,9320.10,55920.62,GBP,Paid,BACS,Invoice,2024/2025,-7
TXN-000119,INV-20241200119,2024-12-26,2025-01-25,,SUP-1023,Thames Lido Ltd,Facilities,Housing,HSG001,5100,Supplies And Services,Facilities Management,37787.82,7557.56,45345.38,GBP,Pending,,Invoice,2024/2025,
TXN-000120,INV-20230500120,2023-05-05,2023-05-19,2023-05-17,SUP-1003,Siemens Financial Services Ltd,Equipment Finance,Facilities,FAC001,4400,Capital,Equipment Purchase,54600.26,10920.05,65520.31,GBP,Paid,Cheque,Invoice,2023/2024,-2
TXN-000121,INV-20230800121,2023-08-14,2023-08-28,2023-08-20,SUP-1027,Kyocera Document Solutions UK Ltd,Office Equipment,Finance,FIN001,4300,Supplies And Services,Printing Equipment,-4194.74,-838.95,-5033.69,GBP,Paid,Bank Transfer,Credit Note,2023/2024,-8
TXN-000122,INV-20240300122,2024-03-12,2024-04-11,2024-04-10,SUP-1031,Kin and Carta UK Ltd,Digital Services,Planning,PLN001,6110,Professional Services,Digital Transformation,45310.55,0.00,45310.55,GBP,Paid,Direct Debit,Invoice,2023/2024,-1
TXN-000123,INV-20230400123,2023-04-15,2023-05-15,2023-05-14,SUP-1024,Institute for Government,Consultancy,Public Health,PH001,4210,Professional Services,Environmental Assessment,22272.99,4454.60,26727.59,GBP,Paid,Direct Debit,Invoice,2023/2024,-1
TXN-000124,INV-20240700124,2024-07-26,2024-08-25,2024-08-17,SUP-1024,Institute for Government,Consultancy,Public Health,PH001,4210,Professional Services,Planning Consultancy,54936.54,0.00,54936.54,GBP,Paid,Bank Transfer,Invoice,2024/2025,-8
TXN-000125,INV-20250100125,2025-01-24,2025-03-25,2025-03-23,SUP-1030,Wales Audit Office,Audit & Compliance,Customer Services,CST001,4900,Professional Services,External Audit,56789.13,11357.83,68146.96,GBP,Paid,Purchase Card,Invoice,2024/2025,-2
TXN-000126,INV-20241000126,2024-10-02,2024-11-01,2024-10-25,SUP-1008,SAV United Kingdom Ltd,IT Hardware,Public Health,PH001,4210,Supplies And Services,IT Hardware,40311.55,8062.31,48373.86,GBP,Paid,Direct Debit,Invoice,2024/2025,-7
TXN-000127,INV-20250100127,2025-01-30,2025-03-01,,SUP-1010,Vital Energi Utilities Ltd,Energy & Utilities,Customer Services,CST001,4900,Supplies And Services,Utilities,37035.22,7407.04,44442.26,GBP,Overdue,,Invoice,2024/2025,
TXN-000128,INV-20240400128,2024-04-14,2024-05-14,2024-05-07,SUP-1018,Allied Publicity Services Ltd,Marketing,ICT Operations,ICT001,4200,Supplies And Services,Branding Materials,51363.15,10272.63,61635.78,GBP,Paid,Bank Transfer,Invoice,2024/2025,-7
TXN-000129,INV-20230600129,2023-06-02,2023-08-01,2023-07-29,SUP-1024,Institute for Government,Consultancy,Marketing,MKT001,4700,Professional Services,Environmental Assessment,56953.39,11390.68,68344.07,GBP,Paid,Bank Transfer,Invoice,2023/2024,-3
TXN-000130,INV-20241200130,2024-12-02,2025-01-01,2024-12-27,SUP-1014,P & M Sinclair Ltd,Construction,Research,RES001,6200,Capital,Joinery Works,59332.05,11866.41,71198.46,GBP,Paid,BACS,Invoice,2024/2025,-5
TXN-000131,INV-20231000131,2023-10-30,2023-11-13,2023-11-10,SUP-1005,Johnston Builders & Roofing Ltd,Construction,Legal,LEG001,6120,Capital,Joinery Works,46518.52,9303.70,55822.22,GBP,Paid,BACS,Invoice,2023/2024,-3
TXN-000132,INV-20230800132,2023-08-12,2023-08-26,2023-08-24,SUP-1018,Allied Publicity Services Ltd,Marketing,Legal,LEG001,6120,Professional Services,Marketing Campaigns,39748.19,0.00,39748.19,GBP,Paid,BACS,Invoice,2023/2024,-2
TXN-000133,INV-20241100133,2024-11-23,2024-12-23,2024-12-21,SUP-1001,Tech Source IT Solutions Ltd,IT & Technology,Environment,ENV001,5200,Supplies And Services,IT Hardware,3380.84,676.17,4057.01,GBP,Paid,Direct Debit,Invoice,2024/2025,-2
TXN-000134,INV-20230600134,2023-06-05,2023-08-04,2023-07-30,SUP-1034,RP Slight & Sons Ltd,Construction,Public Health,PH001,4210,Capital,Joinery Works,-2397.03,-479.41,-2876.44,GBP,Paid,BACS,Credit Note,2023/2024,-5
TXN-000135,INV-20240700135,2024-07-13,2024-08-12,2024-08-05,SUP-1003,Siemens Financial Services Ltd,Equipment Finance,Policy,POL001,6100,Capital,Equipment Purchase,25719.85,5143.97,30863.82,GBP,Paid,Bank Transfer,Invoice,2024/2025,-7
TXN-000136,INV-20230600136,2023-06-15,2023-07-15,2023-07-06,SUP-1032,Core Technology Systems UK Ltd,IT Infrastructure,Policy,POL001,6100,Supplies And Services,Infrastructure Support,4174.51,834.90,5009.41,GBP,Paid,Bank Transfer,Invoice,2023/2024,-9
TXN-000137,INV-20240700137,2024-07-08,2024-07-22,2024-07-16,SUP-1021,Posturite Ltd,Office Supplies,Waste Management,WM001,4600,Supplies And Services,Ergonomic Equipment,47637.49,9527.50,57164.99,GBP,Paid,Bank Transfer,Invoice,2024/2025,-6
TXN-000138,INV-20231100138,2023-11-20,2024-01-19,2024-01-12,SUP-1014,P & M Sinclair Ltd,Construction,Waste Management,WM001,4600,Capital,Renovation Works,25105.38,5021.08,30126.46,GBP,Paid,Bank Transfer,Invoice,2023/2024,-7
TXN-000139,INV-20250200139,2025-02-10,2025-03-12,2025-03-10,SUP-1021,Posturite Ltd,Office Supplies,Waste Management,WM001,4600,Supplies And Services,Ergonomic Equipment,4261.22,852.24,5113.46,GBP,Paid,Bank Transfer,Invoice,2024/2025,-2
TXN-000140,INV-20240400140,2024-04-16,2024-05-16,2024-05-16,SUP-1006,Edmundson Electrical Ltd,Electrical Supplies,Waste Management,WM001,4600,Supplies And Services,Electrical Materials,-2918.00,-583.60,-3501.60,GBP,Paid,Bank Transfer,Credit Note,2024/2025,0
TXN-000141,INV-20230500141,2023-05-23,2023-06-22,2023-06-18,SUP-1027,Kyocera Document Solutions UK Ltd,Office Equipment,Environment,ENV001,5200,Supplies And Services,Printing Equipment,6440.13,1288.03,7728.16,GBP,Paid,BACS,Invoice,2023/2024,-4
TXN-000142,INV-20231100142,2023-11-16,2023-12-16,2023-12-08,SUP-1010,Vital Energi Utilities Ltd,Energy & Utilities,Research,RES001,6200,Supplies And Services,Utilities,7114.40,1422.88,8537.28,GBP,Paid,Bank Transfer,Invoice,2023/2024,-8
TXN-000143,INV-20241000143,2024-10-26,2024-11-09,2024-10-30,SUP-1015,Vodafone Ltd,Telecoms,Planning,PLN001,6110,Supplies And Services,Mobile Services,-4663.15,-932.63,-5595.78,GBP,Paid,Bank Transfer,Credit Note,2024/2025,-10
TXN-000144,INV-20250300144,2025-03-20,2025-04-19,2025-04-14,SUP-1002,Phoenix Partnership Leeds Ltd,Healthcare IT,Finance,FIN001,4300,Professional Services,System Integration,11088.98,0.00,11088.98,GBP,Paid,Direct Debit,Invoice,2024/2025,-5
TXN-000145,INV-20250100145,2025-01-08,2025-02-07,2025-01-30,SUP-1005,Johnston Builders & Roofing Ltd,Construction,Finance,FIN001,4300,Capital,Joinery Works,22727.62,4545.52,27273.14,GBP,Paid,Purchase Card,Invoice,2024/2025,-8
TXN-000146,INV-20240200146,2024-02-14,2024-03-15,,SUP-1022,Operational Research Society,Research,Finance,FIN001,4300,Professional Services,Conference Fees,-4445.88,-0.00,-4445.88,GBP,Overdue,,Credit Note,2023/2024,
TXN-000147,INV-20250200147,2025-02-19,2025-03-21,2025-03-14,SUP-1011,Decco Limited,Waste Management,Planning,PLN001,6110,Supplies And Services,Waste Collection,29268.29,5853.66,35121.95,GBP,Paid,Purchase Card,Invoice,2024/2025,-7
TXN-000148,INV-20240900148,2024-09-06,2024-10-06,2024-09-30,SUP-1027,Kyocera Document Solutions UK Ltd,Office Equipment,Facilities,FAC001,4400,Supplies And Services,Printing Equipment,17173.98,3434.80,20608.78,GBP,Paid,Purchase Card,Invoice,2024/2025,-6
TXN-000149,INV-20230500149,2023-05-17,2023-06-16,2023-06-07,SUP-1034,RP Slight & Sons Ltd,Construction,Research,RES001,6200,Capital,Renovation Works,709.30,141.86,851.16,GBP,Paid,Bank Transfer,Invoice,2023/2024,-9
TXN-000150,INV-20231200150,2023-12-18,2024-01-17,2024-01-16,SUP-1014,P & M Sinclair Ltd,Construction,Planning,PLN001,6110,Capital,Building Works,29968.77,5993.75,35962.52,GBP,Paid,Direct Debit,Invoice,2023/2024,-1
TXN-000151,INV-20240900151,2024-09-27,2024-10-27,2024-10-19,SUP-1012,Sovereign Group Ltd,Construction,Finance,FIN001,4300,Capital,Renovation Works,4556.51,911.30,5467.81,GBP,Paid,BACS,Invoice,2024/2025,-8
TXN-000152,INV-20230600152,2023-06-19,2023-07-19,2023-07-13,SUP-1028,Knowledge Train Ltd,Training,ICT Operations,ICT001,4200,Professional Services,Staff Training,-3290.67,-658.13,-3948.80,GBP,Paid,Bank Transfer,Credit Note,2023/2024,-6
TXN-000153,INV-20230900153,2023-09-23,2023-10-07,2023-10-02,SUP-1026,CMS Enviro Systems Ltd,Environmental,ICT Operations,ICT001,4200,Supplies And Services,Environmental Services,26343.53,5268.71,31612.24,GBP,Paid,Bank Transfer,Invoice,2023/2024,-5
TXN-000154,INV-20240900154,2024-09-18,2024-10-18,2024-10-14,SUP-1016,LSE Enterprise Ltd,Education & Research,Waste Management,WM001,4600,Professional Services,Training,13488.93,0.00,13488.93,GBP,Paid,Bank Transfer,Invoice,2024/2025,-4
TXN-000155,INV-20240900155,2024-09-25,2024-10-09,2024-10-04,SUP-1033,P1 Solutions Ltd,Facilities,Research,RES001,6200,Supplies And Services,Facilities Management,43710.90,8742.18,52453.08,GBP,Paid,BACS,Invoice,2024/2025,-5
TXN-000156,INV-20231200156,2023-12-19,2024-01-18,2024-01-09,SUP-1016,LSE Enterprise Ltd,Education & Research,Public Health,PH001,4210,Professional Services,Research Services,45672.86,0.00,45672.86,GBP,Paid,BACS,Invoice,2023/2024,-9
TXN-000157,INV-20250200157,2025-02-26,2025-03-12,,SUP-1032,Core Technology Systems UK Ltd,IT Infrastructure,Operations,OPS001,4500,Supplies And Services,Infrastructure Support,-4862.12,-972.42,-5834.54,GBP,Pending,,Credit Note,2024/2025,
TXN-000158,INV-20230600158,2023-06-09,2023-08-08,2023-07-29,SUP-1021,Posturite Ltd,Office Supplies,Finance,FIN001,4300,Supplies And Services,Ergonomic Equipment,47830.70,9566.14,57396.84,GBP,Paid,BACS,Invoice,2023/2024,-10
TXN-000159,INV-20240200159,2024-02-12,2024-04-12,2024-04-12,SUP-1023,Thames Lido Ltd,Facilities,Marketing,MKT001,4700,Supplies And Services,Facilities Management,22282.07,4456.41,26738.48,GBP,Paid,Bank Transfer,Invoice,2023/2024,0
TXN-000160,INV-20241200160,2024-12-20,2025-01-03,2024-12-28,SUP-1005,Johnston Builders & Roofing Ltd,Construction,Research,RES001,6200,Capital,Building Works,34924.68,6984.94,41909.62,GBP,Paid,BACS,Invoice,2024/2025,-6
TXN-000161,INV-20240200161,2024-02-24,2024-03-09,2024-03-01,SUP-1029,Phoenix Software Ltd,IT Software,Customer Services,CST001,4900,Supplies And Services,Software Licensing,57473.91,11494.78,68968.69,GBP,Paid,Purchase Card,Invoice,2023/2024,-8
TXN-000162,INV-20230600162,2023-06-26,2023-07-10,,SUP-1007,KPMG LLP,Professional Services,Planning,PLN001,6110,Professional Services,Tax Advisory,2588.74,517.75,3106.49,GBP,Pending,,Invoice,2023/2024,
TXN-000163,INV-20240400163,2024-04-07,2024-05-07,2024-05-01,SUP-1029,Phoenix Software Ltd,IT Software,Marketing,MKT001,4700,Supplies And Services,Software Licensing,46524.27,9304.85,55829.12,GBP,Paid,BACS,Invoice,2024/2025,-6
TXN-000164,INV-20230700164,2023-07-06,2023-07-20,,SUP-1022,Operational Research Society,Research,Public Health,PH001,4210,Professional Services,Conference Fees,17227.78,0.00,17227.78,GBP,Pending,,Invoice,2023/2024,
TXN-000165,INV-20240300165,2024-03-24,2024-04-23,,SUP-1022,Operational Research Society,Research,Public Health,PH001,4210,Professional Services,Membership Fees,7954.86,0.00,7954.86,GBP,Pending,,Invoice,2023/2024,
TXN-000166,INV-20250100166,2025-01-18,2025-02-17,,SUP-1020,Tillicoultry Quarries Ltd,Materials,Marketing,MKT001,4700,Supplies And Services,Aggregate Materials,40289.45,8057.89,48347.34,GBP,Overdue,,Invoice,2024/2025,
TXN-000167,INV-20250200167,2025-02-15,2025-04-16,2025-04-11,SUP-1034,RP Slight & Sons Ltd,Construction,Public Health,PH001,4210,Capital,Joinery Works,21915.21,4383.04,26298.25,GBP,Paid,BACS,Invoice,2024/2025,-5
TXN-000168,INV-20231000168,2023-10-14,2023-11-13,2023-11-11,SUP-1014,P & M Sinclair Ltd,Construction,Environment,ENV001,5200,Capital,Renovation Works,17923.58,3584.72,21508.30,GBP,Paid,Bank Transfer,Invoice,2023/2024,-2
TXN-000169,INV-20250200169,2025-02-06,2025-03-08,,SUP-1033,P1 Solutions Ltd,Facilities,Planning,PLN001,6110,Supplies And Services,Facilities Management,-2039.42,-407.88,-2447.30,GBP,Overdue,,Credit Note,2024/2025,
TXN-000170,INV-20240600170,2024-06-22,2024-07-22,2024-07-17,SUP-1011,Decco Limited,Waste Management,Finance,FIN001,4300,Supplies And Services,Waste Collection,58182.92,11636.58,69819.50,GBP,Paid,Bank Transfer,Invoice,2024/2025,-5
TXN-000171,INV-20240200171,2024-02-11,2024-04-11,,SUP-1029,Phoenix Software Ltd,IT Software,Housing,HSG001,5100,Supplies And Services,Software Licensing,22228.50,4445.70,26674.20,GBP,Overdue,,Invoice,2023/2024,
TXN-000172,INV-20240400172,2024-04-26,2024-05-10,2024-05-04,SUP-1029,Phoenix Software Ltd,IT Software,Operations,OPS001,4500,Supplies And Services,Software Licensing,49059.25,9811.85,58871.10,GBP,Paid,BACS,Invoice,2024/2025,-6
TXN-000173,INV-20240800173,2024-08-05,2024-09-04,2024-09-03,SUP-1017,Bray Leino Ltd,Marketing,ICT Operations,ICT001,4200,Supplies And Services,Branding Materials,-1604.05,-320.81,-1924.86,GBP,Paid,BACS,Credit Note,2024/2025,-1
TXN-000174,INV-20230800174,2023-08-29,2023-10-28,2023-10-25,SUP-1018,Allied Publicity Services Ltd,Marketing,Operations,OPS001,4500,Supplies And Services,Branding Materials,53106.63,10621.33,63727.96,GBP,Paid,BACS,Invoice,2023/2024,-3
TXN-000175,INV-20240800175,2024-08-27,2024-09-26,2024-09-20,SUP-1027,Kyocera Document Solutions UK Ltd,Office Equipment,ICT Operations,ICT001,4200,Supplies And Services,Printing Equipment,22651.03,4530.21,27181.24,GBP,Paid,BACS,Invoice,2024/2025,-6
TXN-000176,INV-20250100176,2025-01-25,2025-02-24,,SUP-1021,Posturite Ltd,Office Supplies,Customer Services,CST001,4900,Supplies And Services,Office Equipment,8471.58,1694.32,10165.90,GBP,Overdue,,Invoice,2024/2025,
TXN-000177,INV-20250300177,2025-03-13,2025-04-12,,SUP-1019,Simon Tullett Machinery Ltd,Machinery,Customer Services,CST001,4900,Supplies And Services,Machinery Maintenance,27053.94,5410.79,32464.73,GBP,Overdue,,Invoice,2024/2025,
TXN-000178,INV-20230400178,2023-04-20,2023-05-20,2023-05-18,SUP-1001,Tech Source IT Solutions Ltd,IT & Technology,Customer Services,CST001,4900,Supplies And Services,IT Hardware,-3142.18,-628.44,-3770.62,GBP,Paid,Direct Debit,Credit Note,2023/2024,-2
TXN-000179,INV-20231100179,2023-11-30,2023-12-30,2023-12-30,SUP-1008,SAV United Kingdom Ltd,IT Hardware,Planning,PLN001,6110,Supplies And Services,Network Equipment,25334.58,5066.92,30401.50,GBP,Paid,Purchase Card,Invoice,2023/2024,0
TXN-000180,INV-20241200180,2024-12-02,2024-12-16,2024-12-06,SUP-1005,Johnston Builders & Roofing Ltd,Construction,Public Health,PH001,4210,Capital,Renovation Works,-3663.09,-732.62,-4395.71,GBP,Paid,Bank Transfer,Credit Note,2024/2025,-10
TXN-000181,INV-20231200181,2023-12-03,2023-12-17,2023-12-15,SUP-1028,Knowledge Train Ltd,Training,ICT Operations,ICT001,4200,Professional Services,Staff Training,31528.20,6305.64,37833.84,GBP,Paid,Bank Transfer,Invoice,2023/2024,-2
TXN-000182,INV-20240900182,2024-09-01,2024-09-15,2024-09-09,SUP-1034,RP Slight & Sons Ltd,Construction,Marketing,MKT001,4700,Capital,Joinery Works,2851.18,570.24,3421.42,GBP,Paid,Direct Debit,Invoice,2024/2025,-6
TXN-000183,INV-20240300183,2024-03-31,2024-04-30,2024-04-27,SUP-1024,Institute for Government,Consultancy,Facilities,FAC001,4400,Professional Services,Planning Consultancy,46347.21,9269.44,55616.65,GBP,Paid,BACS,Invoice,2023/2024,-3
TXN-000184,INV-20250100184,2025-01-18,2025-02-17,,SUP-1003,Siemens Financial Services Ltd,Equipment Finance,Environment,ENV001,5200,Capital,Equipment Purchase,58853.95,11770.79,70624.74,GBP,Overdue,,Invoice,2024/2025,
TXN-000185,INV-20230800185,2023-08-17,2023-09-16,,SUP-1031,Kin and Carta UK Ltd,Digital Services,Research,RES001,6200,Professional Services,Digital Transformation,2459.78,0.00,2459.78,GBP,Pending,,Invoice,2023/2024,
TXN-000186,INV-20230500186,2023-05-13,2023-06-12,2023-06-04,SUP-1003,Siemens Financial Services Ltd,Equipment Finance,Planning,PLN001,6110,Supplies And Services,Equipment Lease,59350.08,11870.02,71220.10,GBP,Paid,Purchase Card,Invoice,2023/2024,-8
TXN-000187,INV-20231000187,2023-10-13,2023-11-12,2023-11-12,SUP-1017,Bray Leino Ltd,Marketing,ICT Operations,ICT001,4200,Supplies And Services,Branding Materials,16574.69,3314.94,19889.63,GBP,Paid,Cheque,Invoice,2023/2024,0
TXN-000188,INV-20240600188,2024-06-24,2024-08-23,2024-08-21,SUP-1028,Knowledge Train Ltd,Training,Customer Services,CST001,4900,Professional Services,Staff Training,41601.09,8320.22,49921.31,GBP,Paid,Bank Transfer,Invoice,2024/2025,-2
TXN-000189,INV-20230600189,2023-06-20,2023-08-19,2023-08-17,SUP-1006,Edmundson Electrical Ltd,Electrical Supplies,Policy,POL001,6100,Supplies And Services,Electrical Materials,-737.34,-147.47,-884.81,GBP,Paid,Cheque,Credit Note,2023/2024,-2
TXN-000190,INV-20241200190,2024-12-08,2025-02-06,2025-01-30,SUP-1019,Simon Tullett Machinery Ltd,Machinery,Facilities,FAC001,4400,Supplies And Services,Machinery Maintenance,26966.00,5393.20,32359.20,GBP,Paid,Cheque,Invoice,2024/2025,-7
TXN-000191,INV-20230600191,2023-06-16,2023-08-15,2023-08-07,SUP-1028,Knowledge Train Ltd,Training,Facilities,FAC001,4400,Professional Services,Staff Training,57179.17,0.00,57179.17,GBP,Paid,Purchase Card,Invoice,2023/2024,-8
TXN-000192,INV-20231100192,2023-11-28,2023-12-28,2023-12-22,SUP-1003,Siemens Financial Services Ltd,Equipment Finance,Finance,FIN001,4300,Supplies And Services,Equipment Lease,-978.83,-195.77,-1174.60,GBP,Paid,Purchase Card,Credit Note,2023/2024,-6
TXN-000193,INV-20230600193,2023-06-18,2023-07-02,2023-06-24,SUP-1024,Institute for Government,Consultancy,Environment,ENV001,5200,Professional Services,Environmental Assessment,24032.53,4806.51,28839.04,GBP,Paid,BACS,Invoice,2023/2024,-8
TXN-000194,INV-20240800194,2024-08-24,2024-09-07,2024-08-30,SUP-1008,SAV United Kingdom Ltd,IT Hardware,ICT Operations,ICT001,4200,Supplies And Services,IT Hardware,15891.16,3178.23,19069.39,GBP,Paid,Bank Transfer,Invoice,2024/2025,-8
TXN-000195,INV-20250300195,2025-03-11,2025-05-10,2025-05-09,SUP-1029,Phoenix Software Ltd,IT Software,Housing,HSG001,5100,Supplies And Services,Software Licensing,51206.37,10241.27,61447.64,GBP,Paid,Purchase Card,Invoice,2024/2025,-1
TXN-000196,INV-20240600196,2024-06-29,2024-07-29,,SUP-1012,Sovereign Group Ltd,Construction,Customer Services,CST001,4900,Capital,Joinery Works,40153.43,8030.69,48184.12,GBP,Overdue,,Invoice,2024/2025,
TXN-000197,INV-20240100197,2024-01-23,2024-02-22,,SUP-1005,Johnston Builders & Roofing Ltd,Construction,Marketing,MKT001,4700,Capital,Joinery Works,42780.59,8556.12,51336.71,GBP,Overdue,,Invoice,2023/2024,
TXN-000198,INV-20240900198,2024-09-02,2024-10-02,2024-09-29,SUP-1012,Sovereign Group Ltd,Construction,Planning,PLN001,6110,Capital,Renovation Works,14394.99,2879.00,17273.99,GBP,Paid,Purchase Card,Invoice,2024/2025,-3
TXN-000199,INV-20240700199,2024-07-22,2024-08-05,2024-07-27,SUP-1002,Phoenix Partnership Leeds Ltd,Healthcare IT,Environment,ENV001,5200,Professional Services,System Integration,4178.45,835.69,5014.14,GBP,Paid,Purchase Card,Invoice,2024/2025,-9
TXN-000200,INV-20241100200,2024-11-09,2024-12-09,2024-12-04,SUP-1034,RP Slight & Sons Ltd,Construction,Waste Management,WM001,4600,Capital,Renovation Works,27135.98,5427.20,32563.18,GBP,Paid,Cheque,Invoice,2024/2025,-5
TXN-000201,INV-20230800201,2023-08-11,2023-10-10,2023-10-10,SUP-1009,Firstcall Trade Services Ltd,Trade Supplies,Customer Services,CST001,4900,Supplies And Services,Trade Supplies,31206.60,6241.32,37447.92,GBP,Paid,Bank Transfer,Invoice,2023/2024,0
TXN-000202,INV-20250300202,2025-03-27,2025-04-26,2025-04-18,SUP-1011,Decco Limited,Waste Management,Finance,FIN001,4300,Supplies And Services,Waste Processing,50794.54,10158.91,60953.45,GBP,Paid,Bank Transfer,Invoice,2024/2025,-8
TXN-000203,INV-20230800203,2023-08-07,2023-09-06,2023-08-29,SUP-1013,Cinos Ltd,Telecoms,Research,RES001,6200,Supplies And Services,Mobile Services,30278.75,6055.75,36334.50,GBP,Paid,BACS,Invoice,2023/2024,-8
TXN-000204,INV-20241000204,2024-10-29,2024-11-28,,SUP-1010,Vital Energi Utilities Ltd,Energy & Utilities,Finance,FIN001,4300,Supplies And Services,Utilities,5103.07,1020.61,6123.68,GBP,Overdue,,Invoice,2024/2025,
TXN-000205,INV-20241100205,2024-11-06,2025-01-05,2024-12-26,SUP-1017,Bray Leino Ltd,Marketing,Research,RES001,6200,Professional Services,Marketing Campaigns,30007.77,6001.55,36009.32,GBP,Paid,Bank Transfer,Invoice,2024/2025,-10
TXN-000206,INV-20240100206,2024-01-30,2024-03-30,2024-03-30,SUP-1031,Kin and Carta UK Ltd,Digital Services,Housing,HSG001,5100,Professional Services,Digital Transformation,26516.43,5303.29,31819.72,GBP,Paid,Purchase Card,Invoice,2023/2024,0
TXN-000207,INV-20230800207,2023-08-26,2023-09-25,,SUP-1014,P & M Sinclair Ltd,Construction,Environment,ENV001,5200,Capital,Joinery Works,44118.44,8823.69,52942.13,GBP,Overdue,,Invoice,2023/2024,
TXN-000208,INV-20240400208,2024-04-14,2024-04-28,2024-04-27,SUP-1023,Thames Lido Ltd,Facilities,Waste Management,WM001,4600,Supplies And Services,Facilities Management,14693.84,2938.77,17632.61,GBP,Paid,Bank Transfer,Invoice,2024/2025,-1
TXN-000209,INV-20230800209,2023-08-23,2023-09-22,2023-09-18,SUP-1018,Allied Publicity Services Ltd,Marketing,Operations,OPS001,4500,Professional Services,Marketing Campaigns,51883.79,10376.76,62260.55,GBP,Paid,BACS,Invoice,2023/2024,-4
TXN-000210,INV-20241100210,2024-11-12,2024-12-12,2024-12-10,SUP-1011,Decco Limited,Waste Management,Legal,LEG001,6120,Supplies And Services,Waste Processing,59759.17,11951.83,71711.00,GBP,Paid,Purchase Card,Invoice,2024/2025,-2
TXN-000211,INV-20240800211,2024-08-22,2024-09-21,2024-09-15,SUP-1032,Core Technology Systems UK Ltd,IT Infrastructure,Customer Services,CST001,4900,Supplies And Services,Infrastructure Support,-1393.46,-278.69,-1672.15,GBP,Paid,Cheque,Credit Note,2024/2025,-6
TXN-000212,INV-20240800212,2024-08-19,2024-09-02,,SUP-1004,Jamieson Joiners & Builders Ltd,Construction,ICT Operations,ICT001,4200,Capital,Renovation Works,17323.47,3464.69,20788.16,GBP,Overdue,,Invoice,2024/2025,
TXN-000213,INV-20240600213,2024-06-15,2024-07-15,2024-07-10,SUP-1001,Tech Source IT Solutions Ltd,IT & Technology,Legal,LEG001,6120,Supplies And Services,IT Hardware,22114.76,4422.95,26537.71,GBP,Paid,Direct Debit,Invoice,2024/2025,-5
TXN-000214,INV-20231000214,2023-10-17,2023-11-16,2023-11-12,SUP-1004,Jamieson Joiners & Builders Ltd,Construction,Human Resources,HR001,4800,Capital,Joinery Works,23334.34,4666.87,28001.21,GBP,Paid,Purchase Card,Invoice,2023/2024,-4
